start,dur,text
0.44,5.439,[Music]
3.35,4.509,hello and welcome to the donker for
5.879,3.93,beginners course my name is simone shot
7.859,5.07,monolith and i will be your instructor
9.809,5.79,for this course I'm a DevOps and cloud
12.929,4.711,trainer at code cloud comm which is an
15.599,4.44,interactive hands-on online learning
17.64,4.59,platform I've been working in the
20.039,4.171,industry as a consultant for over 13
22.23,4.23,years and have helped hundreds of
24.21,5.37,thousands of students learn technology
26.46,5.01,in a fun and interactive way in this
29.58,4.77,course you will learn docker through a
31.47,5.63,series of lectures that use animation
34.35,5.97,illustration and some fun analogies that
37.1,5.229,simplify complex concepts we have demos
40.32,3.899,that will show you how to install and
42.329,4.41,get started with docker and most
44.219,4.86,importantly we have hands-on labs that
46.739,4.861,you can access right in your browser I
49.079,4.591,will explain more about it in a bit but
51.6,4.74,first let's look at the objectives of
53.67,5.13,this course in this course we first try
56.34,4.649,to understand what containers are what
58.8,4.649,docker is and why you might need it and
60.989,4.95,what it can do for you we will see how
63.449,4.561,to run a docker container how to build
65.939,4.321,your own docker image we will see
68.01,4.77,networking in docker and how to use
70.26,4.679,docker compose what docker registry is
72.78,4.05,how to deploy your own private registry
74.939,4.11,and we then look at some of these
76.83,4.38,concepts in debt and we try to
79.049,4.831,understand how docker really works under
81.21,5.43,the hood we look at docker for Windows
83.88,5.04,and Mac before finally getting a basic
86.64,5.01,introduction to container orchestration
88.92,5.01,tools like dr. Swann and kubernetes
91.65,4.95,here's a quick note about hands-on labs
93.93,4.799,first of all to complete this course you
96.6,5.129,don't have to set up your own labs well
98.729,4.771,you may set it up if you wish to if you
101.729,4.051,wish to have your own environment and we
103.5,4.95,have a demo as well but as part of this
105.78,5.19,course we provide real labs that you can
108.45,5.129,access right in your browser anywhere
110.97,5.429,anytime and as many times as you want
113.579,5.191,the labs give you instant access to a
116.399,4.981,terminal to a docker host and an
118.77,4.65,accompanying quiz portal the quiz portal
121.38,3.839,asks a set of questions such as
123.42,4.32,exploring the environment and gathering
125.219,4.71,information or you might be asked to
127.74,4.95,perform an action such as run docker
129.929,3.751,container the quiz portal then validates
132.69,3.419,your work and
133.68,4.77,gives you feedback instantly every
136.109,4.71,lecture in this course is accompanied by
138.45,4.89,such challenging interactive quizzes
140.819,5.7,that makes learning docker a fun
143.34,6.32,activity so I hope you're asked thrilled
146.519,11.69,as I am to get started so let us begin
149.66,10.809,[Music]
158.209,4.39,we're going to start by looking at a
160.469,5.071,high-level overview on why you need
162.599,5.04,docker and what it can do for you let me
165.54,4.74,start by sharing how I got introduced to
167.639,4.71,Locker in one of my previous projects I
170.28,4.289,had this requirement to set up an
172.349,4.711,end-to-end application stack including
174.569,4.98,various different technologies like a
177.06,5.129,web server using node.js and a database
179.549,5.16,such as MongoDB and a messaging system
182.189,4.681,like Redis and an orchestration tool
184.709,4.62,like ansible we had a lot of issues
186.87,5.009,developing this application stack with
189.329,4.351,all these different components first of
191.879,4.11,all their compatibility with the
193.68,4.589,underlying OS was an issue we had to
195.989,5.071,ensure that all these different services
198.269,4.86,were compatible with the version of OS
201.06,4.139,we were planning to use there have been
203.129,4.23,times when certain version of these
205.199,4.38,services were not compatible with the OS
207.359,4.261,and we've had to go back and look at
209.579,4.981,different OS that was compatible with
211.62,4.649,all of these different services secondly
214.56,4.349,we had to check the compatibility
216.269,5.37,between these services and the libraries
218.909,5.28,and dependencies on the OS we've had
221.639,4.831,issues where one service requires one
224.189,4.44,version of a dependent library whereas
226.47,4.829,another service requires another version
228.629,5.371,the architecture of our application
231.299,4.68,changed over time we've had to upgrade
234,4.979,to newer versions of these components or
235.979,5.16,change the database etc and every time
238.979,4.23,something changed we had to go through
241.139,3.87,the same process of checking
243.209,3.84,compatibility between these various
245.009,5.4,components and the underlying
247.049,5.91,infrastructure this compatibility matrix
250.409,6.36,issue is usually referred to as the
252.959,6.39,matrix from hell next every time we had
256.769,4.411,a new developer on board we found it
259.349,4.021,really difficult to set up a new
261.18,4.349,environment the new developers had to
263.37,3.82,follow a large set of instructions
265.529,3.281,around hundreds of commands
267.19,3.9,if you finally setup their environment
268.81,4.02,we had to make sure they were using the
271.09,3.66,right operating system the right
272.83,4.56,versions of each of these components and
274.75,5.67,each developer had to set all that up by
277.39,5.01,himself each time we also had different
280.42,4.41,development tests and production
282.4,4.5,environments one developer may be
284.83,4.59,comfortable using one OS and the others
286.9,4.38,may be comfortable using another one and
289.42,4.17,so we couldn't guarantee that the
291.28,3.9,application that we were building would
293.59,4.35,run the same way in different
295.18,5.85,environments and so all of this made our
297.94,6.39,life in developing building and shipping
301.03,5.31,the application really difficult so I
304.33,3.87,needed something that could help us with
306.34,3.99,the compatibility issue and something
308.2,4.86,that will allow us to modify or change
310.33,4.77,these components without affecting the
313.06,4.14,other components and even modify the
315.1,5.1,underlying operating systems as required
317.2,6.3,and that search landed me on docker
320.2,6.33,with docker I was able to run each
323.5,5.28,component in a separate container with
326.53,6.03,its own dependencies and its own
328.78,5.67,libraries all on the same VM and the OS
332.56,4.47,but within separate environments or
334.45,5.13,containers we just had to build the
337.03,4.56,docker configuration once and all our
339.58,4.65,developers could now get started with a
341.59,4.32,simple docker run command a respective
344.23,4.29,of what the underlying operating system
345.91,4.53,layer on all they needed to do was to
348.52,4.31,make sure they had doc are installed on
350.44,5.06,their systems so what are containers
352.83,4.75,containers are completely isolated
355.5,4.54,environments I think they can have their
357.58,3.63,own processes for services their own
360.04,3.12,network interfaces
361.21,4.41,their own mounts just like washing
363.16,5.28,machines except they all share the same
365.62,4.89,OS kernel we will look at what that
368.44,4.23,means in a bit but it's also important
370.51,4.56,to note that containers are not new with
372.67,4.32,docker containers have existed for about
375.07,5.1,10 years now and some of the different
376.99,6.75,types of containers are LX c LX d LX c
380.17,5.82,FS etc docker utilizes LX c containers
383.74,4.38,setting up these continua environments
385.99,4.35,is hard as they're very low-level and
388.12,4.14,that is where docker offers a high level
390.34,4.14,tool with several powerful
392.26,5.58,functionalities making it really easy
394.48,5.87,for end-users like us to understand how
397.84,5.27,docker works let us revisit some base
400.35,4.17,concepts of operating systems first if
403.11,4.74,you look at operating systems like
404.52,6.78,Ubuntu Fedora Susi air scent OS they all
407.85,6.15,consist of two things an OS kernel and a
411.3,4.5,set of software the OS kernel is
414,4.05,responsible for interacting with the
415.8,4.29,underlying hardware while the OS kernel
418.05,4.44,remains the same which is Linux in this
420.09,4.16,case it's the software above it that
422.49,4.92,makes these operating systems different
424.25,5.65,this software may consist of a different
427.41,5.52,user interface drivers compilers file
429.9,5.79,managers developer tools etc so you have
432.93,5.34,a common Linux kernel shared across all
435.69,4.47,races and some custom software that
438.27,2.51,differentiate operating systems from
440.16,3.69,each other
440.78,5.53,we said earlier that docker containers
443.85,3.27,share the underlying kernel so what does
446.31,3.45,that actually mean
447.12,5.19,sharing the kernel let's say we have a
449.76,5.22,system with an Ubuntu OS with docker
452.31,5.25,installed on it docker can run any
454.98,5.07,flavor of OS on top of it as long as
457.56,5.97,they are all based on the same kernel in
460.05,6.06,this case Linux if the underlying OS is
463.53,4.74,Ubuntu docker can run a container based
466.11,5.58,on another distribution like debian
468.27,5.76,fedora SUSE or Sint OS each docker
471.69,4.47,container only has the additional
474.03,3.96,software that we just talked about in
476.16,4.11,the previous slide that makes these
477.99,4.65,operating systems different and docker
480.27,5.01,utilizes the underlying kernel of the
482.64,6,docker host which works with all OSS
485.28,6.81,above so what is an OS that do not share
488.64,5.61,the same kernel as this Windows and so
492.09,4.86,you won't be able to run a Windows based
494.25,5.73,container on a docker host with Linux on
496.95,5.79,it for that you will require a docker on
499.98,5.61,a Windows server now it is when I say
502.74,5.46,this that most of my students go hey
505.59,4.14,hold on there that's not true and they
508.2,4.019,installed our own windows run a
509.73,5.76,container based on Linux and go see it's
512.219,5.76,possible well when you install docker on
515.49,4.89,Windows and run a Linux container on
517.979,4.801,Windows you're not really running a
520.38,4.98,Linux container on Windows Windows runs
522.78,4.92,a Linux container on a Linux virtual
525.36,4.68,machine under the hood so it's really
527.7,6.09,Linux container on Linux virtual machine
530.04,6.51,on Windows we discuss more about this
533.79,5.76,the docker on Windows or Mac later
536.55,5.43,during this course now you might ask
539.55,5.94,isn't that a disadvantage then not being
541.98,5.76,able to run another kernel on the OS the
545.49,4.8,answer is no because unlike hypervisors
547.74,4.14,docker is not meant to virtualize and
550.29,4.11,run different operating systems and
551.88,5.19,kernels on the same hardware the main
554.4,5.19,purpose of docker is to package and
557.07,5.1,container as applications and to ship
559.59,6,them and to run them anywhere any times
562.17,5.7,as many times as you want so that brings
565.59,4.35,us to the differences between virtual
567.87,4.02,machines and containers something that
569.94,4.53,we tend to do is specially those from a
571.89,5.1,virtualization background as you can see
574.47,4.98,on the right in case of docker we have
576.99,4.56,the underlying hardware infrastructure
579.45,4.8,and then the OS and then docker
581.55,4.86,installed on the OS docker then manages
584.25,4.62,the containers that run with libraries
586.41,4.53,and dependencies alone in case of
588.87,5.34,virtual machines we have the hypervisor
590.94,5.64,like ESX on the hardware and then the
594.21,4.71,virtual machines on them as you can see
596.58,5.01,each virtual machine has its own OS
598.92,5.37,inside it then the dependencies and then
601.59,4.53,the application the overhead causes
604.29,3.99,higher utilization of underlying
606.12,4.11,resources as there are multiple virtual
608.28,4.86,operating systems and kernels running
610.23,6.24,the virtual machines also consume higher
613.14,5.46,disk space as each VM is heavy and is
616.47,4.14,usually in gigabytes in size whereas
618.6,4.83,docker containers are lightweight and
620.61,4.56,are usually in megabytes in size this
623.43,3.99,allows docker containers to boot up
625.17,5.19,faster usually in a matter of seconds
627.42,4.74,whereas VMs as we know takes minutes to
630.36,4.71,boot up as it needs to boot up the
632.16,5.31,entire operating system it is also
635.07,4.71,important to note that docker has less
637.47,4.83,isolation as more resources are shared
639.78,5.07,between the containers like kernel where
642.3,4.95,as VMs have complete isolation from each
644.85,4.62,other since VMs don't rely on the
647.25,4.26,underlying OS or kernel you can run
649.47,4.47,different types of applications built on
651.51,4.76,different OSS such as Linux based or
653.94,4.5,Windows based apps on the same analyzer
656.27,5.59,so those are some differences between
658.44,5.49,the two now having said that it's not an
661.86,4.34,either container or virtual machine
663.93,4.58,situation its container
666.2,4.23,and virtual machines now when you have
668.51,3.449,large environments with thousands of
670.43,4.17,application containers running on
671.959,5.011,thousands of docker hosts you will often
674.6,5.669,see containers provisioned on virtual
676.97,5.489,docker hosts that way we can utilize the
680.269,4.531,advantages of both technologies we can
682.459,4.411,use the benefits of virtualization to
684.8,4.349,easily provision or decommissioned upper
686.87,4.409,house stuffs as required at the same
689.149,4.471,time make use of the benefits of docker
691.279,5.191,to easily provision applications and
693.62,5.07,quickly scale them as required but
696.47,4.619,remember that in this case we will not
698.69,5.49,be provisioning that many virtual
701.089,6.211,machines as we used to before because
704.18,4.2,earlier we provisioned a virtual machine
707.3,3.149,for each application
708.38,4.199,now you might provision a virtual
710.449,5.25,machine for hundreds or thousands of
712.579,5.461,containers so how is it done there are
715.699,4.471,lots of containerized versions of
718.04,4.47,applications readily available as of
720.17,4.71,today so most organizations have their
722.51,4.59,products containerized and available in
724.88,5.459,a public dock or repository called
727.1,5.429,docker hub or docker store for example
730.339,4.651,you can find images of most common
732.529,5.071,operating systems databases and other
734.99,4.62,services and tools once you identify the
737.6,4.77,images you need and you install docker
739.61,5.729,on your hosts bringing up an application
742.37,5.25,is as easy as running a docker run
745.339,4.44,command with the name of the image in
747.62,4.17,this case running a docker run ansible
749.779,4.201,command will run an instance of ansible
751.79,5.22,on the docker host similarly run an
753.98,5.609,instance of MongoDB Redis and nodejs
757.01,4.68,using the docker run command if we need
759.589,4.981,to run multiple instances of the web
761.69,4.56,service simply add as many instances as
764.57,5.249,you need and configure a load balancer
766.25,5.91,or some kind in the front in case one of
769.819,5.031,the instances were to fail simply
772.16,5.34,destroy that instance and launch anyone
774.85,4.719,there are other solutions available for
777.5,4.98,handling such cases that we will look at
779.569,4.95,later during this course and for now
782.48,5.49,don't focus too much on the commands and
784.519,5.851,we will get to that in a bit we've been
787.97,4.14,talking about images and containers
790.37,5.01,let's understand the difference between
792.11,5.58,the two an image is a package or a
795.38,3.42,template just like a VM template that
797.69,2.24,you might have worked with in the
798.8,3.17,virtualization
799.93,5.04,it is used to create one or more
801.97,5.25,containers containers are running
804.97,4.62,instances of images that are isolated
807.22,5.28,and have their own environments and set
809.59,4.74,of processes as we have seen before a
812.5,4.17,lot of products have been derived
814.33,3.9,already in case you cannot find what
816.67,4.05,you're looking for you could create your
818.23,4.38,own image and push it to docker hub
820.72,4.85,repository making it available for
822.61,5.46,public so if you look at it
825.57,4.75,traditionally developers developed
828.07,4.32,applications then they hand it over to
830.32,4.86,ops team to deploy and manage it in
832.39,4.8,production environments they do that by
835.18,4.53,providing a set of instructions such as
837.19,4.53,information about how the hosts must be
839.71,3.36,set up what prerequisites are to be
841.72,3.74,installed on the host and how the
843.07,5.04,dependencies are to be configured etc
845.46,4.27,since the ops team did not really
848.11,4.26,develop the application on their own
849.73,4.08,they struggle with setting it up when
852.37,4.8,the hidden issue they worked with the
853.81,5.85,developers to resolve it with docker the
857.17,5.76,developers and operations teams work
859.66,5.37,hand-in-hand to transform the guide into
862.93,4.74,a docker file with both of their
865.03,4.29,requirements this docker file is then
867.67,4.56,used to create an image for their
869.32,5.22,applications this image can now run on
872.23,4.38,any host with docker installed on it and
874.54,4.71,is guaranteed to run the same way
876.61,4.47,everywhere so the ops team can now
879.25,4.41,simply use the image to deploy the
881.08,4.35,application since the image was already
883.66,4.679,working when the developer built it and
885.43,5.31,operations are have not modified it it
888.339,5.011,continues to work the same way when
890.74,5,deployed in production and that's one
893.35,5.76,example of how a tool like docker
895.74,5.56,contributes to the DevOps culture well
899.11,4.17,that's it for now and in the upcoming
